rank,case_count,variant_length,variant
198,49,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice
199,49,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Change Price -> Record Invoice Receipt
200,48,9,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
201,48,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
202,48,3,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt
203,48,6,Create Purchase Requisition Item -> Release Purchase Requisition -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
204,47,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: Ordered -> SRM: Change was Transmitted -> SRM: In Transfer to Execution Syst. -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
205,47,6,Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Remove Payment Block -> Clear Invoice
206,47,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
207,47,8,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
208,47,6,Create Purchase Order Item -> Change Storage Location -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
209,47,4,Create Purchase Order Item -> Change Approval for Purchase Order -> Receive Order Confirmation -> Delete Purchase Order Item
210,47,6,Create Purchase Order Item -> Change Price -> Cancel Goods Receipt -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice
211,47,6,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Change Price -> Record Invoice Receipt
212,47,5,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Change Price -> Record Goods Receipt
213,47,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Approval for Purchase Order -> Record Goods Receipt
214,46,7,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
215,46,5,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt
216,46,10,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
217,45,10,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice
218,44,7,Create Purchase Order Item -> Delete Purchase Order Item -> Reactivate Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
219,44,8,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
220,44,9,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
221,44,8,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Change Price -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
222,44,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
223,43,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
224,43,8,Create Purchase Order Item -> Change Approval for Purchase Order -> Change Price -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
225,43,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Approval for Purchase Order -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
226,42,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
227,42,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
228,42,10,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
229,42,4,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt
230,41,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Cancel Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
231,41,7,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
232,41,5,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt
233,40,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
234,40,7,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
235,40,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
236,40,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt
237,39,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt
238,39,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
239,39,7,Create Purchase Order Item -> Vendor creates invoice -> Change Price -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
240,39,13,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
241,39,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block
242,38,7,Create Purchase Order Item -> Record Goods Receipt -> Cancel Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
243,38,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Change Delivery Indicator
244,38,5,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet
245,38,13,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
246,38,5,Create Purchase Requisition Item -> Release Purchase Requisition -> Create Purchase Order Item -> Change Price -> Record Goods Receipt
247,37,8,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
248,37,14,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
249,37,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Record Invoice Receipt
250,37,8,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
251,37,10,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
252,37,6,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block
253,36,8,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> Create Purchase Order Item -> SRM: Change was Transmitted
254,36,13,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
255,36,13,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice
256,36,7,Create Purchase Order Item -> Vendor creates invoice -> Change Price -> Change Price -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
257,36,5,Vendor creates debit memo -> Create Purchase Order Item -> Cancel Goods Receipt -> Cancel Invoice Receipt -> Clear Invoice
258,35,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
259,35,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Change Price -> Clear Invoice
260,35,3,Create Purchase Order Item -> Record Goods Receipt -> Change Quantity
261,35,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Change Quantity -> Record Invoice Receipt -> Clear Invoice
262,35,4,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Record Goods Receipt
263,34,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Quantity -> Change Delivery Indicator -> Record Invoice Receipt -> Clear Invoice
264,34,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Change Price -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
265,34,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Delete Purchase Order Item
266,34,7,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Change Price -> Record Invoice Receipt -> Remove Payment Block
267,34,5,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt
268,34,10,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
269,33,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: Ordered -> SRM: In Transfer to Execution Syst. -> Create Purchase Order Item -> SRM: Change was Transmitted -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
270,33,9,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates debit memo -> Cancel Subsequent Invoice -> Remove Payment Block -> Clear Invoice -> Clear Invoice
